日期,城市,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
2020-01-22,滁州,1,0,0,1,0,0
2020-01-22,达州,1,0,0,1,0,0
2020-01-22,大连,1,0,0,1,0,0
2020-01-22,涪陵区,1,0,0,1,0,0
2020-01-22,福州,1,0,0,1,0,0
2020-01-22,阜阳,1,0,0,1,0,0
2020-01-22,广州,3,0,0,5,0,0
2020-01-22,贵阳,1,0,0,1,0,0
2020-01-22,哈尔滨,1,0,0,1,0,0
2020-01-22,海口,1,0,0,1,0,0
2020-01-22,杭州,5,0,0,6,0,0
2020-01-22,合肥,4,0,0,5,0,0
2020-01-22,和平区,1,0,0,1,0,0
2020-01-22,怀化,3,0,0,3,0,0
2020-01-22,金华,1,0,0,1,0,0
2020-01-22,荆门,1,0,0,1,0,0
2020-01-22,荆州,6,0,0,6,0,0
2020-01-22,兰州,1,0,0,1,0,0
2020-01-22,临高,1,0,0,1,0,0
2020-01-22,临沂,2,0,0,2,0,0
2020-01-22,柳州,1,0,0,1,0,0
2020-01-22,六安,1,0,0,1,0,0
2020-01-22,洛阳,1,0,0,1,0,0
2020-01-22,绵阳,2,0,0,2,0,0
2020-01-22,牡丹江,1,0,0,1,0,0
2020-01-22,南昌,1,0,0,1,0,0
2020-01-22,南开区,1,0,0,1,0,0
2020-01-22,宁波,2,0,0,5,0,0
2020-01-22,黔南州,1,0,0,1,0,0
2020-01-22,青岛,2,0,0,3,0,0
2020-01-22,衢州,1,0,0,1,0,0
2020-01-22,三门峡,1,0,0,1,0,0
2020-01-22,三亚,1,0,0,1,0,0
2020-01-22,绍兴,1,0,0,1,0,0
2020-01-22,深圳,1,0,0,15,0,0
2020-01-22,沈阳,1,0,0,1,0,0
2020-01-22,石家庄,1,0,0,1,0,0
2020-01-22,石景山区,1,0,0,1,0,0
2020-01-22,苏州,1,0,0,1,0,0
2020-01-22,台州,5,0,0,6,0,0
2020-01-22,太原,1,0,0,1,0,0
2020-01-22,铜仁,1,0,0,1,0,0
2020-01-22,外地来京,1,0,0,2,0,0
2020-01-22,万宁,1,0,0,1,0,0
2020-01-22,温州,2,1,0,6,1,0
2020-01-22,梧州,1,0,0,1,0,0
2020-01-22,武汉,62,0,8,425,28,17
2020-01-22,西安,2,0,0,2,0,0
2020-01-22,西城区,1,0,0,2,0,0
2020-01-22,咸阳,1,0,0,1,0,0
2020-01-22,香港,1,0,0,1,0,0
2020-01-22,永川区,2,0,0,2,0,0
2020-01-22,永州,1,0,0,1,0,0
2020-01-22,长春,1,0,0,1,0,0
2020-01-22,长沙,3,0,0,4,0,0
2020-01-22,肇庆,1,0,0,1,0,0
2020-01-22,郑州,2,0,0,3,0,0
2020-01-22,中山,1,0,0,1,0,0
2020-01-23,安康,1,0,0,1,0,0
2020-01-23,安庆,1,0,0,1,0,0
2020-01-23,澳门,1,0,0,2,0,0
2020-01-23,百色,1,0,0,1,0,0
2020-01-23,蚌埠,1,0,0,1,0,0
2020-01-23,北海,3,0,0,6,0,0
2020-01-23,沧州,1,0,1,1,0,1
2020-01-23,朝阳区,2,0,0,3,0,0
2020-01-23,朝阳市,1,0,0,1,0,0
2020-01-23,成都,3,0,0,7,0,0
2020-01-23,池州,1,0,0,1,0,0
2020-01-23,大渡口区,1,0,0,1,0,0
2020-01-23,大庆,1,0,0,1,0,0
2020-01-23,德阳,1,0,0,1,0,0
2020-01-23,垫江县,1,0,0,2,0,0
2020-01-23,丰台区,1,0,0,2,0,0
2020-01-23,奉节县,1,0,0,1,0,0
2020-01-23,佛山,5,0,0,6,0,0
2020-01-23,福州,1,0,0,2,0,0
2020-01-23,阜阳,1,0,0,2,0,0
2020-01-23,广安,1,0,0,2,0,0
2020-01-23,广州,2,0,0,7,0,0
2020-01-23,桂林,2,0,0,2,0,0
2020-01-23,海淀区,1,0,0,3,0,0
2020-01-23,海口,2,0,0,3,0,0
2020-01-23,合肥,1,0,0,6,0,0
2020-01-23,河北区,1,0,0,1,0,0
2020-01-23,河池,1,0,0,1,0,0
2020-01-23,呼伦贝尔,1,0,0,1,0,0
2020-01-23,惠州,4,0,0,5,0,0
2020-01-23,吉安,1,0,0,1,0,0
2020-01-23,吉林,1,0,0,1,0,0
2020-01-23,嘉兴,3,0,0,3,0,0
2020-01-23,荆门,7,0,0,8,0,0
2020-01-23,荆州,2,0,0,8,0,0
2020-01-23,九江,1,0,0,1,0,0
2020-01-23,九龙坡区,2,0,0,2,0,0
2020-01-23,开州区,2,0,0,2,0,0
2020-01-23,昆明,1,0,0,2,0,0
2020-01-23,连云港,1,0,0,1,0,0
2020-01-23,两江新区,1,0,0,1,0,0
2020-01-23,柳州,1,0,0,2,0,0
2020-01-23,六安,1,0,0,2,0,0
2020-01-23,娄底,3,0,0,3,0,0
2020-01-23,南昌,1,0,0,2,0,0
2020-01-23,南京,3,0,0,3,0,0
2020-01-23,南通,1,0,0,1,0,0
2020-01-23,宁德,1,0,0,1,0,0
2020-01-23,清远,1,0,0,1,0,0
2020-01-23,衢州,1,0,0,2,0,0
2020-01-23,泉州,1,0,0,1,0,0
2020-01-23,日照,1,0,0,1,0,0
2020-01-23,三亚,1,0,0,2,0,0
2020-01-23,厦门,1,0,0,1,0,0
2020-01-23,韶关,1,0,0,3,0,0
2020-01-23,深圳,0,2,0,15,2,0
2020-01-23,沈阳,1,0,0,2,0,0
2020-01-23,十堰,1,0,0,1,0,0
2020-01-23,顺义区,1,0,0,1,0,0
2020-01-23,松原,1,0,0,1,0,0
2020-01-23,苏州,1,0,0,2,0,0
2020-01-23,绥化,1,0,1,1,0,1
2020-01-23,遂宁,1,0,0,1,0,0
2020-01-23,台州,12,0,0,18,0,0
2020-01-23,通州区,1,0,0,2,0,0
2020-01-23,外地来京,5,0,0,7,0,0
2020-01-23,万宁,1,0,0,2,0,0
2020-01-23,万州区,1,0,0,3,0,0
2020-01-23,威海,1,0,0,2,0,0
2020-01-23,潍坊,1,0,0,1,0,0
2020-01-23,乌鲁木齐,2,0,0,2,0,0
2020-01-23,巫山县,1,0,0,3,0,0
2020-01-23,巫溪县,1,0,0,1,0,0
2020-01-23,无锡,1,0,0,1,0,0
2020-01-23,武汉,70,3,6,495,31,23
2020-01-23,西城区,1,0,0,3,0,0
2020-01-23,仙桃,2,0,0,2,0,0
2020-01-23,香港,1,0,0,2,0,0
2020-01-23,湘潭,1,0,0,1,0,0
2020-01-23,孝感,22,0,0,22,0,0
2020-01-23,新余,1,0,0,1,0,0
2020-01-23,信阳,1,0,0,1,0,0
2020-01-23,秀山县,1,0,0,1,0,0
2020-01-23,雅安,1,0,0,1,0,0
2020-01-23,延安,1,0,0,1,0,0
2020-01-23,扬州,1,0,0,1,0,0
2020-01-23,阳江,3,0,0,3,0,0
2020-01-23,宜昌,1,0,1,1,0,1
2020-01-23,永州,3,0,0,4,0,0
2020-01-23,渝北区,2,0,0,2,0,0
2020-01-23,岳阳,3,0,0,3,0,0
2020-01-23,云阳县,1,0,0,1,0,0
2020-01-23,长沙,4,0,0,8,0,0
2020-01-23,长寿区,2,0,0,3,0,0
2020-01-23,郑州,2,0,0,5,0,0
2020-01-23,中山,1,0,0,2,0,0
2020-01-23,中卫,1,0,0,1,0,0
2020-01-23,忠县,1,0,0,1,0,0
2020-01-23,周口,1,0,0,1,0,0
2020-01-23,珠海,4,0,0,8,0,0
2020-01-23,株洲,1,0,0,1,0,0
2020-01-24,安康,2,0,0,3,0,0
2020-01-24,安庆,3,0,0,4,0,0
2020-01-24,保定,1,0,0,1,0,0
2020-01-24,本溪,1,0,0,1,0,0
2020-01-24,璧山区,2,0,0,2,0,0
2020-01-24,滨海新区,1,0,0,1,0,0
2020-01-24,亳州,3,0,0,4,0,0
2020-01-24,沧州,1,0,0,2,0,1
2020-01-24,昌平区,1,0,0,3,0,0
2020-01-24,常德,3,0,0,3,0,0
2020-01-24,常州,5,0,0,5,0,0
2020-01-24,朝阳区,3,0,0,6,0,0
2020-01-24,朝阳市,1,0,0,2,0,0
2020-01-24,成都,9,0,0,16,0,0
2020-01-24,承德,1,0,0,1,0,0
2020-01-24,城口县,1,0,0,1,0,0
2020-01-24,滁州,1,0,0,2,0,0
2020-01-24,大渡口区,1,0,0,2,0,0
2020-01-24,大连,1,0,0,2,0,0
2020-01-24,大同,1,0,0,1,0,0
2020-01-24,大兴区,0,1,0,2,1,0
2020-01-24,儋州,3,0,0,3,0,0
2020-01-24,德州,1,0,0,1,0,0
2020-01-24,东莞,1,0,0,1,0,0
2020-01-24,鄂州,1,0,0,1,0,0
2020-01-24,恩施州,11,0,0,11,0,0
2020-01-24,防城港,2,0,0,2,0,0
2020-01-24,丰都县,1,0,0,1,0,0
2020-01-24,佛山,3,0,0,9,0,0
2020-01-24,福州,3,0,0,5,0,0
2020-01-24,抚州,3,0,0,4,0,0
2020-01-24,阜阳,5,0,0,7,0,0
2020-01-24,赣州,2,0,0,2,0,0
2020-01-24,固原,1,0,0,1,0,0
2020-01-24,广州,7,0,0,14,0,0
2020-01-24,桂林,4,0,0,6,0,0
2020-01-24,哈尔滨,5,0,0,6,0,0
2020-01-24,海淀区,5,0,0,8,0,0
2020-01-24,杭州,6,0,0,12,0,0
2020-01-24,合川区,2,0,0,2,0,0
2020-01-24,合肥,4,0,0,10,0,0
2020-01-24,河北区,1,0,0,2,0,0
2020-01-24,河池,2,0,0,3,0,0
2020-01-24,河东区,1,0,0,2,0,0
2020-01-24,衡阳,3,0,0,3,0,0
2020-01-24,葫芦岛,2,0,0,2,0,0
2020-01-24,怀化,2,0,0,5,0,0
2020-01-24,黄冈,52,0,0,64,0,0
2020-01-24,惠州,2,0,0,7,0,0
2020-01-24,吉林,1,0,0,2,0,0
2020-01-24,济南,2,0,0,2,0,0
2020-01-24,济宁,2,0,0,2,0,0
2020-01-24,嘉兴,1,0,0,4,0,0
2020-01-24,金华,1,0,0,2,0,0
2020-01-24,荆门,13,0,0,21,0,0
2020-01-24,荆州,2,0,0,10,0,0
2020-01-24,景德镇,1,0,0,1,0,0
2020-01-24,九江,1,0,0,2,0,0
2020-01-24,九龙坡区,1,0,0,3,0,0
2020-01-24,开州区,2,0,0,4,0,0
2020-01-24,昆明,1,0,0,3,0,0
2020-01-24,兰州,1,0,0,2,0,0
2020-01-24,丽江,1,0,0,1,0,0
2020-01-24,梁平区,1,0,0,1,0,0
2020-01-24,两江新区,2,0,0,3,0,0
2020-01-24,聊城,1,0,0,1,0,0
2020-01-24,临夏,1,0,0,1,0,0
2020-01-24,临沂,1,0,0,3,0,0
2020-01-24,柳州,1,0,0,3,0,0
2020-01-24,娄底,2,0,0,5,0,0
2020-01-24,泸州,1,0,0,1,0,0
2020-01-24,马鞍山,4,0,0,4,0,0
2020-01-24,南昌,1,0,0,3,0,0
2020-01-24,南京,1,0,0,4,0,0
2020-01-24,南阳,8,0,0,8,0,0
2020-01-24,内江,1,0,0,1,0,0
2020-01-24,宁波,1,0,0,6,0,0
2020-01-24,平顶山,1,0,0,1,0,0
2020-01-24,青岛,1,0,0,4,0,0
2020-01-24,清远,1,0,0,2,0,0
2020-01-24,日照,1,0,0,2,0,0
2020-01-24,三亚,3,0,0,5,0,0
2020-01-24,厦门,2,0,0,3,0,0
2020-01-24,汕头,1,0,0,1,0,0
2020-01-24,商洛,1,0,0,1,0,0
2020-01-24,上饶,2,0,0,2,0,0
2020-01-24,邵阳,2,0,0,2,0,0
2020-01-24,绍兴,3,0,0,4,0,0
2020-01-24,深圳,5,0,0,20,2,0
2020-01-24,沈阳,1,0,0,3,0,0
2020-01-24,十堰,4,0,0,5,0,0
2020-01-24,石家庄,3,0,0,4,0,0
2020-01-24,石柱县,3,0,0,3,0,0
2020-01-24,苏州,1,1,0,3,1,0
2020-01-24,随州,5,0,0,5,0,0
2020-01-24,遂宁,1,0,0,2,0,0
2020-01-24,台湾,2,0,0,3,0,0
2020-01-24,台州,2,0,0,20,0,0
2020-01-24,太原,1,0,0,2,0,0
2020-01-24,天门,3,0,0,3,0,0
2020-01-24,铁岭,2,0,0,2,0,0
2020-01-24,通州区,1,0,0,3,0,0
2020-01-24,铜川,3,0,0,3,0,0
2020-01-24,铜陵,3,0,0,3,0,0
2020-01-24,铜仁,1,0,0,2,0,0
2020-01-24,外地来沪,0,1,0,1,1,0
2020-01-24,外地来京,4,0,0,11,0,0
2020-01-24,万宁,3,0,0,5,0,0
2020-01-24,万州区,7,0,0,10,0,0
2020-01-24,威海,1,0,0,3,0,0
2020-01-24,温州,4,0,0,10,1,0
2020-01-24,乌鲁木齐,1,0,0,3,0,0
2020-01-24,巫溪县,1,0,0,2,0,0
2020-01-24,芜湖,1,0,0,1,0,0
2020-01-24,武汉,77,1,15,572,32,38
2020-01-24,西安,2,0,0,4,0,0
2020-01-24,西城区,1,0,0,4,0,0
2020-01-24,西双版纳,1,0,0,1,0,0
2020-01-24,锡林郭勒,1,0,0,1,0,0
2020-01-24,仙桃,8,0,0,10,0,0
2020-01-24,咸阳,2,0,0,3,0,0
2020-01-24,香港,3,0,0,5,0,0
2020-01-24,湘潭,1,0,0,2,0,0
2020-01-24,孝感,4,0,0,26,0,0
2020-01-24,新乡,1,0,0,1,0,0
2020-01-24,信阳,5,0,0,6,0,0
2020-01-24,宿迁,1,0,0,1,0,0
2020-01-24,烟台,2,0,0,2,0,0
2020-01-24,盐城,1,0,0,1,0,0
2020-01-24,阳江,2,0,0,5,0,0
2020-01-24,宜春,1,0,0,1,0,0
2020-01-24,益阳,4,0,0,4,0,0
2020-01-24,永川区,1,0,0,3,0,0
2020-01-24,玉林,1,0,0,1,0,0
2020-01-24,岳阳,2,0,0,5,0,0
2020-01-24,云阳县,1,0,0,2,0,0
2020-01-24,运城,2,0,0,2,0,0
2020-01-24,长寿区,2,0,0,5,0,0
2020-01-24,长治,1,0,0,1,0,0
2020-01-24,肇庆,1,0,0,2,0,0
2020-01-24,郑州,3,0,0,8,0,0
2020-01-24,忠县,2,0,0,3,0,0
2020-01-24,舟山,1,0,0,2,0,0
2020-01-24,周口,3,0,0,4,0,0
2020-01-24,珠海,2,0,0,10,0,0
2020-01-24,驻马店,2,0,0,2,0,0
2020-01-24,自贡,1,0,0,1,0,0
2020-01-25,安庆,1,0,0,5,0,0
2020-01-25,安阳,3,0,0,3,0,0
2020-01-25,百色,1,0,0,2,0,0
2020-01-25,保定,2,0,0,3,0,0
2020-01-25,北海,1,0,0,7,0,0
2020-01-25,滨州,1,0,0,1,0,0
2020-01-25,亳州,2,0,0,6,0,0
2020-01-25,昌平区,2,0,0,5,0,0
2020-01-25,常德,4,0,0,7,0,0
2020-01-25,朝阳区,2,0,0,8,0,0
2020-01-25,郴州,2,0,0,3,0,0
2020-01-25,成都,6,0,0,22,0,0
2020-01-25,澄迈,1,0,0,1,0,0
2020-01-25,赤峰,1,0,0,1,0,0
2020-01-25,大渡口区,2,0,0,4,0,0
2020-01-25,大理,1,0,0,1,0,0
2020-01-25,大连,2,0,0,4,0,0
2020-01-25,大庆,2,0,0,3,0,0
2020-01-25,大兴区,0,1,0,2,2,0
2020-01-25,大足区,1,0,0,1,0,0
2020-01-25,德州,2,0,0,3,0,0
2020-01-25,定西,1,0,0,1,0,0
2020-01-25,东城区,1,0,0,1,0,0
2020-01-25,东莞,1,0,0,2,0,0
2020-01-25,鄂尔多斯,2,0,0,2,0,0
2020-01-25,恩施州,6,0,0,17,0,0
2020-01-25,丰台区,1,0,0,3,0,0
2020-01-25,奉节县,2,0,0,3,0,0
2020-01-25,佛山,1,0,0,10,0,0
2020-01-25,福州,1,0,0,6,0,0
2020-01-25,抚州,2,0,0,6,0,0
2020-01-25,阜阳,3,0,0,10,0,0
2020-01-25,甘孜,2,0,0,2,0,0
2020-01-25,赣州,5,0,0,7,0,0
2020-01-25,桂林,5,0,0,11,0,0
2020-01-25,哈尔滨,2,0,0,8,0,0
2020-01-25,海淀区,5,0,0,13,0,0
2020-01-25,邯郸,2,0,0,2,0,0
2020-01-25,汉中,1,0,0,1,0,0
2020-01-25,杭州,15,0,0,27,0,0
2020-01-25,合肥,3,0,0,13,0,0
2020-01-25,菏泽,1,0,0,1,0,0
2020-01-25,红河,1,0,0,1,0,0
2020-01-25,呼伦贝尔,1,0,0,2,0,0
2020-01-25,湖州,1,0,0,1,0,0
2020-01-25,怀化,3,0,0,8,0,0
2020-01-25,淮安,1,0,0,1,0,0
2020-01-25,淮北,1,0,0,1,0,0
2020-01-25,淮南,1,0,0,1,0,0
2020-01-25,黄冈,58,2,2,122,2,2
2020-01-25,黄山,1,0,0,1,0,0
2020-01-25,黄石,31,0,1,31,0,1
2020-01-25,惠州,1,0,0,8,0,0
2020-01-25,吉安,1,0,0,2,0,0
2020-01-25,济南,1,0,0,3,0,0
2020-01-25,济宁,2,0,0,4,0,0
2020-01-25,嘉兴,4,0,0,8,0,0
2020-01-25,江北区,2,0,0,2,0,0
2020-01-25,揭阳,3,0,0,3,0,0
2020-01-25,金华,1,0,0,3,0,0
2020-01-25,晋中,2,0,0,2,0,0
2020-01-25,荆门,17,0,1,38,0,1
2020-01-25,荆州,23,0,2,33,0,2
2020-01-25,昆明,1,0,0,4,0,0
2020-01-25,兰州,2,0,0,4,0,0
2020-01-25,乐山,1,0,0,1,0,0
2020-01-25,丽江,1,0,0,2,0,0
2020-01-25,丽水,3,0,0,3,0,0
2020-01-25,连云港,2,0,0,3,0,0
2020-01-25,临沂,4,0,0,7,0,0
2020-01-25,陵水,1,0,0,1,0,0
2020-01-25,柳州,1,0,0,4,0,0
2020-01-25,六安,1,0,0,3,0,0
2020-01-25,泸州,1,0,0,2,0,0
2020-01-25,漯河,3,0,0,3,0,0
2020-01-25,马鞍山,3,0,0,7,0,0
2020-01-25,眉山,1,0,0,1,0,0
2020-01-25,绵阳,3,0,0,5,0,0
2020-01-25,南昌,1,0,0,4,0,0
2020-01-25,南充,2,0,0,2,0,0
2020-01-25,南京,3,0,0,7,0,0
2020-01-25,南宁,1,0,0,1,0,0
2020-01-25,南通,1,0,0,2,0,0
2020-01-25,南阳,7,0,1,15,0,1
2020-01-25,宁波,7,0,0,13,0,0
2020-01-25,宁德,1,0,0,2,0,0
2020-01-25,平顶山,1,0,0,2,0,0
2020-01-25,萍乡,1,0,0,2,0,0
2020-01-25,齐齐哈尔,1,0,0,1,0,0
2020-01-25,黔西南州,1,0,0,1,0,0
2020-01-25,青岛,2,0,0,6,0,0
2020-01-25,清远,1,0,0,3,0,0
2020-01-25,衢州,1,0,0,3,0,0
2020-01-25,曲靖,1,0,0,1,0,0
2020-01-25,泉州,2,0,0,3,0,0
2020-01-25,日照,2,0,0,4,0,0
2020-01-25,三门峡,1,0,0,2,0,0
2020-01-25,三明,1,0,0,1,0,0
2020-01-25,三亚,3,0,0,8,0,0
2020-01-25,汕头,1,0,0,2,0,0
2020-01-25,上饶,4,0,0,6,0,0
2020-01-25,绍兴,1,0,0,5,0,0
2020-01-25,深圳,7,0,0,27,2,0
2020-01-25,沈阳,2,0,0,5,0,0
2020-01-25,十堰,15,0,0,20,0,0
2020-01-25,石家庄,1,0,0,5,0,0
2020-01-25,苏州,4,0,0,7,1,0
2020-01-25,绥化,1,0,0,2,0,1
2020-01-25,随州,31,0,0,36,0,0
2020-01-25,台州,1,0,0,21,0,0
2020-01-25,泰州,1,0,0,1,0,0
2020-01-25,天门,2,0,0,5,0,0
2020-01-25,通州区,1,0,0,4,0,0
2020-01-25,铜川,2,0,0,5,0,0
2020-01-25,铜梁区,1,0,0,1,0,0
2020-01-25,外地来沪,1,0,0,2,1,0
2020-01-25,外地来津,1,0,0,1,0,0
2020-01-25,万州区,3,0,0,13,0,0
2020-01-25,威海,1,0,0,4,0,0
2020-01-25,潍坊,1,0,0,2,0,0
2020-01-25,温州,8,0,0,18,1,0
2020-01-25,巫溪县,1,0,0,3,0,0
2020-01-25,无锡,1,0,0,2,0,0
2020-01-25,芜湖,2,0,0,3,0,0
2020-01-25,梧州,1,0,0,2,0,0
2020-01-25,武汉,46,8,7,618,40,45
2020-01-25,西安,4,0,0,8,0,0
2020-01-25,西城区,1,0,0,5,0,0
2020-01-25,西宁,1,0,0,1,0,0
2020-01-25,锡林郭勒,1,0,0,2,0,0
2020-01-25,仙桃,1,0,0,11,0,0
2020-01-25,咸宁,43,0,0,43,0,0
2020-01-25,湘潭,1,0,0,3,0,0
2020-01-25,湘西,3,0,0,3,0,0
2020-01-25,襄阳,2,0,0,2,0,0
2020-01-25,孝感,29,0,0,55,0,0
2020-01-25,新乡,2,0,0,3,0,0
2020-01-25,信阳,16,0,0,22,0,0
2020-01-25,宿州,2,0,0,2,0,0
2020-01-25,宣城,1,0,0,1,0,0
2020-01-25,阳江,1,0,0,6,0,0
2020-01-25,伊犁州,1,0,0,1,0,0
2020-01-25,宜昌,19,0,0,20,0,1
2020-01-25,宜春,4,0,0,5,0,0
2020-01-25,银川,1,0,0,2,0,0
2020-01-25,营口,1,0,0,1,0,0
2020-01-25,渝北区,2,0,0,4,0,0
2020-01-25,玉溪,1,0,0,1,0,0
2020-01-25,岳阳,1,0,0,6,0,0
2020-01-25,云阳县,2,0,0,4,0,0
2020-01-25,湛江,2,0,0,4,0,0
2020-01-25,漳州,3,0,0,3,0,0
2020-01-25,长沙,10,0,0,18,0,0
2020-01-25,肇庆,2,0,0,4,0,0
2020-01-25,郑州,12,0,0,20,0,0
2020-01-25,忠县,2,0,0,5,0,0
2020-01-25,周口,1,0,0,5,0,0
2020-01-25,株洲,2,0,0,3,0,0
2020-01-25,驻马店,5,0,0,7,0,0
2020-01-25,淄博,1,0,0,1,0,0
2020-01-26,安康,4,0,0,7,0,0
2020-01-26,安庆,3,0,0,8,0,0
2020-01-26,安阳,4,0,0,7,0,0
2020-01-26,澳门,3,0,0,5,0,0
2020-01-26,巴南区,1,0,0,1,0,0
2020-01-26,蚌埠,2,0,0,3,0,0
2020-01-26,包头,2,0,0,2,0,0
2020-01-26,保山,2,0,0,2,0,0
2020-01-26,北海,2,0,0,9,0,0
2020-01-26,本溪,1,0,0,2,0,0
2020-01-26,璧山区,1,0,0,3,0,0
2020-01-26,滨州,2,0,0,3,0,0
2020-01-26,昌平区,2,0,0,7,0,0
2020-01-26,常德,5,0,0,12,0,0
2020-01-26,常州,1,0,0,6,0,0
2020-01-26,朝阳区,3,0,0,11,0,0
2020-01-26,郴州,3,0,0,6,0,0
2020-01-26,成都,11,0,0,33,0,0
2020-01-26,澄迈,1,0,0,2,0,0
2020-01-26,达州,2,0,0,3,0,0
2020-01-26,大渡口区,2,0,0,6,0,0
2020-01-26,大庆,2,0,0,5,0,0
2020-01-26,大兴区,3,0,0,5,2,0
2020-01-26,丹东,1,0,0,1,0,0
2020-01-26,儋州,1,0,0,4,0,0
2020-01-26,德宏州,2,0,0,2,0,0
2020-01-26,德州,3,0,0,6,0,0
2020-01-26,垫江县,2,0,0,4,0,0
2020-01-26,鄂州,19,0,0,20,0,0
2020-01-26,恩施州,8,0,0,25,0,0
2020-01-26,防城港,1,0,0,3,0,0
2020-01-26,丰都县,2,0,0,3,0,0
2020-01-26,丰台区,1,0,0,4,0,0
2020-01-26,佛山,4,0,0,14,0,0
2020-01-26,福州,7,0,0,13,0,0
2020-01-26,抚州,1,0,0,7,0,0
2020-01-26,广安,4,0,0,6,0,0
2020-01-26,广州,25,0,0,39,0,0
2020-01-26,桂林,3,0,0,14,0,0
2020-01-26,海淀区,4,0,0,17,0,0
2020-01-26,海口,3,0,0,6,0,0
2020-01-26,汉中,2,0,0,3,0,0
2020-01-26,合川区,1,0,0,3,0,0
2020-01-26,河北区,3,0,0,5,0,0
2020-01-26,菏泽,2,0,0,3,0,0
2020-01-26,鹤壁,2,0,0,2,0,0
2020-01-26,衡阳,1,0,0,4,0,0
2020-01-26,湖州,2,0,0,3,0,0
2020-01-26,怀化,3,0,0,11,0,0
2020-01-26,淮安,1,0,0,2,0,0
2020-01-26,淮南,1,0,0,2,0,0
2020-01-26,黄冈,32,0,2,154,2,4
2020-01-26,黄石,5,0,0,36,0,1
2020-01-26,吉安,1,0,0,3,0,0
2020-01-26,济南,4,0,0,7,0,0
2020-01-26,济宁,1,0,0,5,0,0
2020-01-26,佳木斯,1,0,0,1,0,0
2020-01-26,江北区,1,0,0,3,0,0
2020-01-26,江津区,2,0,0,2,0,0
2020-01-26,金华,2,0,0,5,0,0
2020-01-26,荆门,52,0,2,90,0,3
2020-01-26,荆州,14,0,0,47,0,2
2020-01-26,景德镇,1,0,0,2,0,0
2020-01-26,九江,2,0,0,4,0,0
2020-01-26,九龙坡区,1,0,0,4,0,0
2020-01-26,开封,1,0,0,1,0,0
2020-01-26,开州区,3,0,0,7,0,0
2020-01-26,昆明,3,0,0,7,0,0
2020-01-26,兰州,4,0,0,8,0,0
2020-01-26,廊坊,2,0,0,2,0,0
2020-01-26,凉山,1,0,0,1,0,0
2020-01-26,两江新区,4,0,0,7,0,0
